year,date,transect,grd,wetype,basin_no,species,pairs,lonedrake,flockdrake,groups,region,p_species
1973,3,19,4,5,25,32,1,0,0,0,1,1
1973,3,19,4,5,26,32,3,0,0,0,1,1
1973,3,20,4,1,2,32,0,1,0,0,1,1
1973,3,20,4,1,3,40,1,0,0,0,1,2
1973,3,20,4,1,4,40,1,0,0,0,1,2
1973,3,20,4,1,5,40,1,2,0,0,1,2
1973,3,20,4,2,7,32,0,0,0,0,1,1
1973,3,20,4,2,8,32,0,1,0,0,1,1
1973,3,20,4,2,9,40,0,1,0,0,1,2
1973,3,20,4,2,10,40,2,0,0,0,1,2
1973,3,20,4,3,11,32,0,0,6,0,1,1
1973,3,20,4,3,11,40,1,0,0,0,1,2
1973,3,20,4,5,13,32,2,0,0,0,1,1
1973,3,20,4,5,14,50,0,1,0,0,1,5
1973,3,20,4,1,15,32,0,1,0,0,1,1
1973,3,20,4,3,16,40,1,0,0,0,1,2
1973,3,20,4,5,17,49,0,1,0,0,1,9
1973,15,21,4,2,2,40,2,0,0,0,1,2
1973,15,21,4,7,4,32,0,1,0,0,1,1
1973,15,21,4,10,5,32,1,0,0,0,1,1
1973,15,21,4,1,7,43,0,1,0,0,1,5
1973,15,21,4,3,8,40,0,1,0,0,1,2
1973,15,21,4,5,9,40,0,1,0,0,1,2
1973,15,21,4,5,9,32,1,0,0,0,1,1
1973,15,21,4,5,10,40,1,1,0,0,1,2
1973,4,22,4,0,1,32,0,1,0,0,1,1
1973,4,22,4,0,2,32,1,0,0,0,1,1
1973,4,22,4,0,3,32,1,0,0,0,1,1
1973,4,22,4,0,4,40,1,0,0,0,1,2
1973,4,22,4,1,5,40,1,0,0,0,1,2
1973,4,22,4,2,6,32,0,1,0,0,1,1
1973,4,22,4,2,7,32,1,0,0,0,1,1
1973,4,22,4,2,8,32,1,3,0,0,1,1
1973,4,22,4,2,9,32,3,0,0,0,1,1
1973,4,22,4,2,10,40,1,0,0,0,1,2
1973,4,22,4,3,11,32,0,0,0,0,1,1
1973,4,22,4,3,12,32,0,1,0,0,1,1
1973,4,22,4,3,13,32,1,0,0,0,1,1
1973,4,22,4,4,15,32,1,0,0,0,1,1
1973,4,22,4,4,16,46,1,0,0,0,1,5
1973,4,22,4,4,17,50,0,0,0,16,1,5
1973,4,22,4,5,18,40,1,0,0,0,1,2
1973,4,22,4,5,19,42,1,0,0,0,1,5
1973,4,22,4,5,20,49,0,0,0,25,1,9
1973,4,22,4,5,21,72,1,0,0,0,1,4
1973,4,22,4,7,22,40,0,0,0,20,1,2
1973,4,22,4,9,23,40,1,2,0,0,1,2
1973,4,22,4,1,24,32,0,1,0,0,1,1
1973,4,22,4,1,25,32,0,1,0,0,1,1
1973,4,22,4,1,26,32,0,1,0,0,1,1
1973,4,22,4,1,26,40,1,0,0,0,1,2
1973,4,22,4,1,26,42,0,1,0,0,1,5
1973,4,22,4,1,26,72,0,0,0,18,1,4
1973,4,22,4,1,27,40,1,0,0,0,1,2
1973,4,22,4,1,27,72,0,0,0,1,1,4
1973,4,22,4,1,28,40,7,0,0,0,1,2
1973,4,22,4,1,28,35,2,0,0,0,1,5
1973,4,22,4,1,29,42,1,0,0,0,1,5
1973,4,22,4,1,30,49,0,0,0,0,1,9
1973,4,22,4,3,31,49,10,0,0,0,1,9
1973,4,22,4,5,32,32,0,0,5,0,1,1
1973,4,22,4,5,32,33,2,0,0,0,1,5
1973,4,22,4,5,32,40,1,4,0,0,1,2
1973,4,22,4,5,32,67,0,1,0,0,1,5
1973,4,22,4,5,32,35,0,1,0,0,1,5
1973,4,22,4,5,32,50,1,0,0,0,1,5
1973,4,22,4,5,32,42,0,1,0,0,1,5
1973,4,22,4,5,32,47,1,1,0,0,1,5
1973,4,22,4,5,32,51,0,0,0,5,1,5
1973,4,22,4,5,33,40,2,1,0,0,1,2
1973,4,22,4,5,33,49,6,0,0,0,1,9
1973,4,22,4,5,33,42,1,1,0,0,1,5
1973,4,22,4,5,34,43,1,2,0,0,1,5
1973,14,23,4,9,1,32,0,1,0,0,1,1
1973,14,23,4,3,2,32,0,1,0,0,1,1
1973,17,23,2,3,7,40,0,1,0,0,1,2
1973,17,23,2,3,8,40,0,1,0,0,1,2
1973,17,23,2,3,9,40,0,2,0,0,1,2
1973,17,23,2,9,13,40,1,0,0,0,1,2
1973,17,23,2,9,14,44,0,1,0,0,1,3
1973,3,24,4,0,1,40,0,1,0,0,1,2
1973,3,24,4,1,2,32,1,0,0,0,1,1
1973,3,24,4,1,3,32,2,0,0,0,1,1
1973,3,24,4,1,3,50,2,0,0,15,1,5
