species,mean,sd,lcl,ucl,median,year,n
mallard,184462.84855042974,20917.35629418861,147162.60476297827,229689.47361496056,182827.03739516754,2017,180930
mallard,192708.03319164825,22425.242299922924,152224.92264826444,239890.50811307074,191055.65854806444,2018,216652
mallard,189731.3736861366,23725.359025197937,147071.60619435928,241137.4457499038,188203.08326792665,2019,204296
mallard,181069.55594616686,28148.683350779294,131651.73027502996,244926.63381389496,178832.6291055315,2020,NA
mallard,172151.3411373238,27316.720370029834,124444.20882348102,230408.5348625311,169874.01315950294,2021,147373
other ducks,87515.15610899258,31286.082841156403,39315.53003001233,156862.13187099813,83427.14409667972,1973,113753
other ducks,66818.25378932864,19909.78576021615,36154.736117677785,111593.34525596828,64670.99547348996,1974,70978
other ducks,49405.278105729005,13795.064509819078,28400.063194984217,81084.9130743212,47414.015730403655,1975,42472
other ducks,40419.07563468724,11235.347751187606,22623.232098712335,66587.85889846875,39067.76989641272,1976,42851
other ducks,29584.304880648586,9849.786713181245,14466.401460499517,52400.44251291075,28465.319131368655,1977,14411
other ducks,40846.177426332506,11477.64644661217,22451.778735754753,67464.16521303279,39364.84636073568,1978,57686
other ducks,37308.47181128009,10081.197363155878,21477.681528158362,60717.09179164627,35792.07962938969,1979,34541
other ducks,35922.84088748395,9938.037862211038,20475.6984058296,60053.94755208209,34434.63305109903,1980,32920
other ducks,38184.87163112905,12030.5887184606,20479.459534906546,66878.04531263009,36157.39762124233,1981,63336
other ducks,23927.847260878058,6540.742526709329,13896.288250560721,38894.01766939317,23011.37995955258,1982,21081
other ducks,16811.074327654886,5472.2170575755335,8664.613592827198,30168.73302969255,15917.1388562626,1983,11727
other ducks,15087.88707158962,5076.486684655605,7920.575424156089,27890.28314154497,14110.18643432825,1984,11991
other ducks,14512.937666281676,5229.8879263628405,7487.65396636778,27886.057435190083,13558.006960299423,1985,8929
other ducks,19335.559744980106,5737.856360235546,10787.74956555343,32952.40039171115,18539.168577724144,1986,17237
other ducks,26399.4000437129,7208.445290329236,14755.333432254454,42164.99418999613,25591.395409915556,1987,30518
other ducks,28788.822135962215,8434.675890992006,15912.784286979468,48226.962024935514,27865.761719213253,1988,16333
other ducks,54660.27435503378,17425.79340616726,29351.83791891886,96938.52793948654,51418.68829250621,1989,97099
other ducks,55203.82297564918,15531.890147535281,31424.014304447912,92321.54145144443,52740.05232769287,1990,40040
other ducks,83361.21009873321,28932.147096623645,41262.369051441536,147902.68465160628,78410.2714316647,1991,126986
other ducks,78959.63264262759,24160.113471508135,40579.08394914605,134338.85314022892,75917.92949155727,1992,109834
other ducks,55666.18417774755,16339.075114856769,30454.523937038266,94160.4783997824,53485.29186749162,1993,32115
other ducks,68479.79637314989,19367.835813661044,38653.13178335494,112625.46273508381,65798.48503169575,1994,80710
other ducks,69161.15014380107,19176.335180763883,38428.28801559443,112899.9419752616,67271.00074529264,1995,78650
other ducks,62484.97443937935,17546.106688188618,34990.424662168116,101036.77075293264,60460.68577398633,1996,75457
other ducks,45554.61527660183,12784.853774292707,26092.65137739376,74961.52618495414,43498.836497874014,1997,38140
other ducks,38207.57069384511,11667.211566678703,20705.82001866324,65501.28476216569,36429.41728056755,1998,28219
